[2026-06-04 18:44:37] Drones: 1 | FPS: 66
[2026-06-04 18:44:43] Drones: 0 | FPS: 14
[2026-06-04 18:44:54] Drones: 0 | FPS: 14
[2026-06-04 18:44:56] Drones: 0 | FPS: 15
[2026-06-04 18:44:58] Drones: 0 | FPS: 14
[2026-06-04 18:45:00] Drones: 0 | FPS: 83
[2026-06-04 18:45:02] Drones: 0 | FPS: 14
[2026-06-04 18:45:04] Drones: 0 | FPS: 13
[2026-06-04 18:45:05] Drones: 0 | FPS: 14
[2026-06-04 18:45:33] Drones: 1 | FPS: 14
[2026-06-04 18:45:34] Drones: 1 | FPS: 66
[2026-06-04 18:45:36] Drones: 1 | FPS: 14
[2026-06-04 18:45:38] Drones: 1 | FPS: 62
[2026-06-04 18:45:39] Drones: 1 | FPS: 58
